código,nombre
709F2D,zte corporation
E4B021,Samsung Electronics Co.
D0F88C,Motorola (Wuhan) Mobility Technologies Communication Co.
D4C1C8,zte corporation
88D274,zte corporation
C4ABB2,vivo Mobile Communication Co.
14A0F8,HUAWEI TECHNOLOGIES CO.
3C678C,HUAWEI TECHNOLOGIES CO.
D4503F,GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
388C50,LG Electronics
1CDA27,vivo Mobile Communication Co.
049573,zte corporation
F0D7AA,Motorola Mobility LLC
3096FB,Samsung Electronics Co.
4827EA,Samsung Electronics Co.
7C787E,Samsung Electronics Co.
6091F3,vivo Mobile Communication Co.
28395E,Samsung Electronics Co.
38295A,GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
D47DFC,TECNO MOBILE LIMITED
BC2F3D,vivo Mobile Communication Co.
407D0F,HUAWEI TECHNOLOGIES CO.
68CC6E,HUAWEI TECHNOLOGIES CO.
78C1A7,zte corporation
8CF5A3,SAMSUNG ELECTRO-MECHANICS(THAILAND)
3CBD3E,Beijing Xiaomi Electronics Co.
D47AE2,Samsung Electronics Co.
E44790,GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
D8E0E1,Samsung Electronics Co.
D8C771,HUAWEI TECHNOLOGIES CO.
8CE117,zte corporation
688AF0,zte corporation
80D4A5,HUAWEI TECHNOLOGIES CO.
04B0E7,HUAWEI TECHNOLOGIES CO.
446A2E,HUAWEI TECHNOLOGIES CO.
A06FAA,LG Innotek
F83F51,Samsung Electronics Co.
D058A8,zte corporation
D071C4,zte corporation
5001D9,HUAWEI TECHNOLOGIES CO.
24C44A,zte corporation
DC0B34,LG Electronics (Mobile Communications)
404E36,HTC Corporation
60A4D0,Samsung Electronics Co.
008701,Samsung Electronics Co.
5C9960,Samsung Electronics Co.
487B6B,HUAWEI TECHNOLOGIES CO.
883FD3,HUAWEI TECHNOLOGIES CO.
101DC0,Samsung Electronics Co.
68EBAE,Samsung Electronics Co.
444E1A,Samsung Electronics Co.
78471D,Samsung Electronics Co.
A07591,Samsung Electronics Co.
0CDFA4,Samsung Electronics Co.
002637,SAMSUNG ELECTRO MECHANICS CO.
002119,SAMSUNG ELECTRO MECHANICS CO.
F4D9FB,Samsung Electronics Co.
3C6200,Samsung Electronics Co.
90187C,SAMSUNG ELECTRO MECHANICS CO.
50CCF8,SAMSUNG ELECTRO MECHANICS CO.
50B7C3,Samsung Electronics Co.
1C5A3E,Samsung Electronics Co.
A02195,Samsung Electronics Co.
E47CF9,Samsung Electronics Co.
4844F7,Samsung Electronics Co.
001377,Samsung Electronics Co.
002454,Samsung Electronics Co.
E81132,Samsung Electronics Co.
C06599,Samsung Electronics Co.
BC79AD,Samsung Electronics Co.
4C3C16,Samsung Electronics Co.
0073E0,Samsung Electronics Co.
0017D5,Samsung Electronics Co.
001E7D,Samsung Electronics Co.
